number_particles:180,cluster_radius:17.029386,fractal_Dimention:1.831769,
number_particles:181,cluster_radius:18.027756,fractal_Dimention:1.797598,
number_particles:182,cluster_radius:18.027756,fractal_Dimention:1.799503,
number_particles:183,cluster_radius:18.027756,fractal_Dimention:1.801398,
number_particles:184,cluster_radius:18.027756,fractal_Dimention:1.803283,
number_particles:185,cluster_radius:18.027756,fractal_Dimention:1.805157,
number_particles:186,cluster_radius:18.027756,fractal_Dimention:1.807021,
number_particles:187,cluster_radius:18.027756,fractal_Dimention:1.808875,
number_particles:188,cluster_radius:18.027756,fractal_Dimention:1.810719,
number_particles:189,cluster_radius:18.027756,fractal_Dimention:1.812554,
number_particles:190,cluster_radius:18.027756,fractal_Dimention:1.814379,
number_particles:191,cluster_radius:18.027756,fractal_Dimention:1.816194,
number_particles:192,cluster_radius:18.027756,fractal_Dimention:1.817999,
number_particles:193,cluster_radius:18.027756,fractal_Dimention:1.819796,
number_particles:194,cluster_radius:18.027756,fractal_Dimention:1.821583,
number_particles:195,cluster_radius:18.027756,fractal_Dimention:1.823361,
number_particles:196,cluster_radius:18.027756,fractal_Dimention:1.825129,
number_particles:197,cluster_radius:18.027756,fractal_Dimention:1.826889,
number_particles:198,cluster_radius:18.027756,fractal_Dimention:1.828640,
number_particles:199,cluster_radius:18.027756,fractal_Dimention:1.830382,
number_particles:200,cluster_radius:18.027756,fractal_Dimention:1.832115,
number_particles:201,cluster_radius:18.027756,fractal_Dimention:1.833840,
number_particles:202,cluster_radius:18.027756,fractal_Dimention:1.835556,
number_particles:203,cluster_radius:18.027756,fractal_Dimention:1.837264,
number_particles:204,cluster_radius:18.027756,fractal_Dimention:1.838963,
number_particles:205,cluster_radius:18.027756,fractal_Dimention:1.840654,
number_particles:206,cluster_radius:18.027756,fractal_Dimention:1.842337,
number_particles:207,cluster_radius:18.027756,fractal_Dimention:1.844011,
number_particles:208,cluster_radius:19.026298,fractal_Dimention:1.811901,
number_particles:209,cluster_radius:19.026298,fractal_Dimention:1.813529,
number_particles:210,cluster_radius:19.026298,fractal_Dimention:1.815150,
number_particles:211,cluster_radius:19.026298,fractal_Dimention:1.816762,
number_particles:212,cluster_radius:20.024984,fractal_Dimention:1.787328,
number_particles:213,cluster_radius:20.024984,fractal_Dimention:1.788898,
number_particles:214,cluster_radius:20.024984,fractal_Dimention:1.790461,
number_particles:215,cluster_radius:20.024984,fractal_Dimention:1.792016,
number_particles:216,cluster_radius:20.024984,fractal_Dimention:1.793565,
number_particles:217,cluster_radius:20.024984,fractal_Dimention:1.795106,
number_particles:218,cluster_radius:20.024984,fractal_Dimention:1.796640,
number_particles:219,cluster_radius:20.024984,fractal_Dimention:1.798167,
number_particles:220,cluster_radius:20.615528,fractal_Dimention:1.782402,
number_particles:221,cluster_radius:20.615528,fractal_Dimention:1.783901,
number_particles:222,cluster_radius:20.615528,fractal_Dimention:1.785393,
number_particles:223,cluster_radius:20.615528,fractal_Dimention:1.786878,
number_particles:224,cluster_radius:20.615528,fractal_Dimention:1.788356,
number_particles:225,cluster_radius:20.615528,fractal_Dimention:1.789828,
number_particles:226,cluster_radius:20.615528,fractal_Dimention:1.791294,
number_particles:227,cluster_radius:20.615528,fractal_Dimention:1.792753,
number_particles:228,cluster_radius:20.615528,fractal_Dimention:1.794205,
number_particles:229,cluster_radius:20.615528,fractal_Dimention:1.795652,
number_particles:230,cluster_radius:20.615528,fractal_Dimention:1.797092,
number_particles:231,cluster_radius:20.615528,fractal_Dimention:1.798525,
number_particles:232,cluster_radius:20.615528,fractal_Dimention:1.799953,
number_particles:233,cluster_radius:20.615528,fractal_Dimention:1.801374,
number_particles:234,cluster_radius:20.615528,fractal_Dimention:1.802789,
number_particles:235,cluster_radius:20.615528,fractal_Dimention:1.804199,
number_particles:236,cluster_radius:20.615528,fractal_Dimention:1.805602,
number_particles:237,cluster_radius:20.615528,fractal_Dimention:1.806999,
number_particles:238,cluster_radius:20.615528,fractal_Dimention:1.808391,
number_particles:239,cluster_radius:21.023796,fractal_Dimention:1.798123,
number_particles:240,cluster_radius:21.023796,fractal_Dimention:1.799494,
number_particles:241,cluster_radius:21.023796,fractal_Dimention:1.800860,
number_particles:242,cluster_radius:21.587033,fractal_Dimention:1.786710,
number_particles:243,cluster_radius:21.587033,fractal_Dimention:1.788052,
number_particles:244,cluster_radius:21.587033,fractal_Dimention:1.789389,
number_particles:245,cluster_radius:21.587033,fractal_Dimention:1.790720,
number_particles:246,cluster_radius:21.587033,fractal_Dimention:1.792046,
number_particles:247,cluster_radius:21.587033,fractal_Dimention:1.793366,
number_particles:248,cluster_radius:21.587033,fractal_Dimention:1.794682,
number_particles:249,cluster_radius:21.587033,fractal_Dimention:1.795992,
number_particles:250,cluster_radius:21.587033,fractal_Dimention:1.797296,
number_particles:251,cluster_radius:21.587033,fractal_Dimention:1.798596,
number_particles:252,cluster_radius:21.587033,fractal_Dimention:1.799890,
number_particles:253,cluster_radius:21.587033,fractal_Dimention:1.801179,
number_particles:254,cluster_radius:21.587033,fractal_Dimention:1.802463,
number_particles:255,cluster_radius:21.587033,fractal_Dimention:1.803742,
number_particles:256,cluster_radius:22.000000,fractal_Dimention:1.793951,
number_particles:257,cluster_radius:22.000000,fractal_Dimention:1.795212,
number_particles:258,cluster_radius:22.000000,fractal_Dimention:1.796468,
number_particles:259,cluster_radius:22.000000,fractal_Dimention:1.797720,
number_particles:260,cluster_radius:22.000000,fractal_Dimention:1.798966,
number_particles:261,cluster_radius:22.000000,fractal_Dimention:1.800208,
number_particles:262,cluster_radius:22.000000,fractal_Dimention:1.801445,
number_particles:263,cluster_radius:22.000000,fractal_Dimention:1.802678,
number_particles:264,cluster_radius:22.000000,fractal_Dimention:1.803906,
number_particles:265,cluster_radius:22.000000,fractal_Dimention:1.805129,
number_particles:266,cluster_radius:22.000000,fractal_Dimention:1.806347,
number_particles:267,cluster_radius:22.000000,fractal_Dimention:1.807561,
number_particles:268,cluster_radius:22.000000,fractal_Dimention:1.808771,
number_particles:269,cluster_radius:22.000000,fractal_Dimention:1.809976,
number_particles:270,cluster_radius:22.000000,fractal_Dimention:1.811176,
number_particles:271,cluster_radius:22.000000,fractal_Dimention:1.812372,
number_particles:272,cluster_radius:22.000000,fractal_Dimention:1.813564,
number_particles:273,cluster_radius:22.000000,fractal_Dimention:1.814751,
number_particles:274,cluster_radius:22.000000,fractal_Dimention:1.815934,
number_particles:275,cluster_radius:23.000000,fractal_Dimention:1.791351,
number_particles:276,cluster_radius:23.000000,fractal_Dimention:1.792509,
number_particles:277,cluster_radius:23.000000,fractal_Dimention:1.793662,
number_particles:278,cluster_radius:23.000000,fractal_Dimention:1.794812,
number_particles:279,cluster_radius:23.000000,fractal_Dimention:1.795957,
number_particles:280,cluster_radius:23.000000,fractal_Dimention:1.797098,
number_particles:281,cluster_radius:23.000000,fractal_Dimention:1.798235,
number_particles:282,cluster_radius:23.000000,fractal_Dimention:1.799368,
number_particles:283,cluster_radius:23.000000,fractal_Dimention:1.800497,
number_particles:284,cluster_radius:23.000000,fractal_Dimention:1.801622,
number_particles:285,cluster_radius:23.000000,fractal_Dimention:1.802743,
number_particles:286,cluster_radius:23.000000,fractal_Dimention:1.803860,
number_particles:287,cluster_radius:23.000000,fractal_Dimention:1.804973,
number_particles:288,cluster_radius:23.000000,fractal_Dimention:1.806082,
number_particles:289,cluster_radius:23.000000,fractal_Dimention:1.807188,
number_particles:290,cluster_radius:23.000000,fractal_Dimention:1.808289,
number_particles:291,cluster_radius:23.000000,fractal_Dimention:1.809387,
number_particles:292,cluster_radius:23.000000,fractal_Dimention:1.810481,
number_particles:293,cluster_radius:23.000000,fractal_Dimention:1.811572,
number_particles:294,cluster_radius:23.000000,fractal_Dimention:1.812658,
number_particles:295,cluster_radius:23.000000,fractal_Dimention:1.813741,
number_particles:296,cluster_radius:23.000000,fractal_Dimention:1.814821,
number_particles:297,cluster_radius:23.000000,fractal_Dimention:1.815896,
number_particles:298,cluster_radius:23.000000,fractal_Dimention:1.816968,
number_particles:299,cluster_radius:23.000000,fractal_Dimention:1.818037,
number_particles:300,cluster_radius:23.000000,fractal_Dimention:1.819102,
number_particles:301,cluster_radius:23.000000,fractal_Dimention:1.820163,
